,AUC,Precision,Recall,Accuracy,F1_score,trainAUC,trainPrecision,trainRecall,trainAccuracy,trainF1score
0,1.0,1.0,1.0,1.0,1.0,0.9543650793650794,0.9444444444444444,0.9444444444444444,0.9565217391304348,0.9444444444444444
1,1.0,1.0,1.0,1.0,1.0,0.9722222222222222,1.0,0.9444444444444444,0.9782608695652174,0.9714285714285714
2,0.875,1.0,0.75,0.9444444444444444,0.8571428571428571,1.0,1.0,1.0,1.0,1.0
3,0.875,1.0,0.75,0.9444444444444444,0.8571428571428571,1.0,1.0,1.0,1.0,1.0
4,1.0,1.0,1.0,1.0,1.0,0.9722222222222222,1.0,0.9444444444444444,0.9782608695652174,0.9714285714285714
5,0.875,1.0,0.75,0.9444444444444444,0.8571428571428571,1.0,1.0,1.0,1.0,1.0
6,1.0,1.0,1.0,1.0,1.0,0.9543650793650794,0.9444444444444444,0.9444444444444444,0.9565217391304348,0.9444444444444444
7,0.9642857142857143,0.8,1.0,0.9444444444444444,0.888888888888889,0.9722222222222222,1.0,0.9444444444444444,0.9782608695652174,0.9714285714285714
8,1.0,1.0,1.0,1.0,1.0,0.9722222222222222,1.0,0.9444444444444444,0.9782608695652174,0.9714285714285714
9,1.0,1.0,1.0,1.0,1.0,0.9543650793650794,0.9444444444444444,0.9444444444444444,0.9565217391304348,0.9444444444444444
10,0.8392857142857143,0.75,0.75,0.8888888888888888,0.75,1.0,1.0,1.0,1.0,1.0
11,1.0,1.0,1.0,1.0,1.0,0.9722222222222222,1.0,0.9444444444444444,0.9782608695652174,0.9714285714285714
12,1.0,1.0,1.0,1.0,1.0,0.9543650793650794,0.9444444444444444,0.9444444444444444,0.9565217391304348,0.9444444444444444
13,0.8392857142857143,0.75,0.75,0.8888888888888888,0.75,1.0,1.0,1.0,1.0,1.0
14,0.875,1.0,0.75,0.9444444444444444,0.8571428571428571,1.0,1.0,1.0,1.0,1.0
15,0.9642857142857143,0.8,1.0,0.9444444444444444,0.888888888888889,0.9722222222222222,1.0,0.9444444444444444,0.9782608695652174,0.9714285714285714
16,0.9642857142857143,0.8,1.0,0.9444444444444444,0.888888888888889,0.9722222222222222,1.0,0.9444444444444444,0.9782608695652174,0.9714285714285714
17,1.0,1.0,1.0,1.0,1.0,0.9722222222222222,1.0,0.9444444444444444,0.9782608695652174,0.9714285714285714
18,1.0,1.0,1.0,1.0,1.0,0.9543650793650794,0.9444444444444444,0.9444444444444444,0.9565217391304348,0.9444444444444444
19,0.8392857142857143,0.75,0.75,0.8888888888888888,0.75,1.0,1.0,1.0,1.0,1.0
20,0.9642857142857143,0.8,1.0,0.9444444444444444,0.888888888888889,0.9722222222222222,1.0,0.9444444444444444,0.9782608695652174,0.9714285714285714
21,0.9642857142857143,0.8,1.0,0.9444444444444444,0.888888888888889,0.9722222222222222,1.0,0.9444444444444444,0.9782608695652174,0.9714285714285714
22,1.0,1.0,1.0,1.0,1.0,0.9722222222222222,1.0,0.9444444444444444,0.9782608695652174,0.9714285714285714
23,1.0,1.0,1.0,1.0,1.0,0.9543650793650794,0.9444444444444444,0.9444444444444444,0.9565217391304348,0.9444444444444444
24,0.9642857142857143,0.8,1.0,0.9444444444444444,0.888888888888889,0.9722222222222222,1.0,0.9444444444444444,0.9782608695652174,0.9714285714285714
25,0.875,1.0,0.75,0.9444444444444444,0.8571428571428571,1.0,1.0,1.0,1.0,1.0
26,1.0,1.0,1.0,1.0,1.0,0.9543650793650794,0.9444444444444444,0.9444444444444444,0.9565217391304348,0.9444444444444444
27,0.875,1.0,0.75,0.9444444444444444,0.8571428571428571,1.0,1.0,1.0,1.0,1.0
28,1.0,1.0,1.0,1.0,1.0,0.9722222222222222,1.0,0.9444444444444444,0.9782608695652174,0.9714285714285714
29,0.8392857142857143,0.75,0.75,0.8888888888888888,0.75,1.0,1.0,1.0,1.0,1.0
30,0.9642857142857143,0.8,1.0,0.9444444444444444,0.888888888888889,0.9722222222222222,1.0,0.9444444444444444,0.9782608695652174,0.9714285714285714
31,1.0,1.0,1.0,1.0,1.0,0.9543650793650794,0.9444444444444444,0.9444444444444444,0.9565217391304348,0.9444444444444444
32,0.875,1.0,0.75,0.9444444444444444,0.8571428571428571,1.0,1.0,1.0,1.0,1.0
33,1.0,1.0,1.0,1.0,1.0,0.9543650793650794,0.9444444444444444,0.9444444444444444,0.9565217391304348,0.9444444444444444
34,0.875,1.0,0.75,0.9444444444444444,0.8571428571428571,1.0,1.0,1.0,1.0,1.0
35,0.875,1.0,0.75,0.9444444444444444,0.8571428571428571,1.0,1.0,1.0,1.0,1.0
