,AUC,Precision,Recall,Accuracy,F1_score
0,1.0,1.0,1.0,1.0,1.0
1,1.0,1.0,1.0,1.0,1.0
2,0.875,1.0,0.75,0.9444444444444444,0.8571428571428571
3,0.875,1.0,0.75,0.9444444444444444,0.8571428571428571
4,1.0,1.0,1.0,1.0,1.0
5,0.875,1.0,0.75,0.9444444444444444,0.8571428571428571
6,1.0,1.0,1.0,1.0,1.0
7,0.9642857142857143,0.8,1.0,0.9444444444444444,0.888888888888889
8,1.0,1.0,1.0,1.0,1.0
9,1.0,1.0,1.0,1.0,1.0
10,0.8392857142857143,0.75,0.75,0.8888888888888888,0.75
11,1.0,1.0,1.0,1.0,1.0
12,1.0,1.0,1.0,1.0,1.0
13,0.8392857142857143,0.75,0.75,0.8888888888888888,0.75
14,0.875,1.0,0.75,0.9444444444444444,0.8571428571428571
15,0.9642857142857143,0.8,1.0,0.9444444444444444,0.888888888888889
16,0.9642857142857143,0.8,1.0,0.9444444444444444,0.888888888888889
17,1.0,1.0,1.0,1.0,1.0
18,1.0,1.0,1.0,1.0,1.0
19,0.8392857142857143,0.75,0.75,0.8888888888888888,0.75
20,0.9642857142857143,0.8,1.0,0.9444444444444444,0.888888888888889
21,0.9642857142857143,0.8,1.0,0.9444444444444444,0.888888888888889
22,1.0,1.0,1.0,1.0,1.0
23,1.0,1.0,1.0,1.0,1.0
24,0.9642857142857143,0.8,1.0,0.9444444444444444,0.888888888888889
25,0.875,1.0,0.75,0.9444444444444444,0.8571428571428571
26,1.0,1.0,1.0,1.0,1.0
27,0.875,1.0,0.75,0.9444444444444444,0.8571428571428571
28,1.0,1.0,1.0,1.0,1.0
29,0.8392857142857143,0.75,0.75,0.8888888888888888,0.75
30,1.0,1.0,1.0,1.0,1.0
31,1.0,1.0,1.0,1.0,1.0
32,0.875,1.0,0.75,0.9444444444444444,0.8571428571428571
33,1.0,1.0,1.0,1.0,1.0
34,0.875,1.0,0.75,0.9444444444444444,0.8571428571428571
35,0.875,1.0,0.75,0.9444444444444444,0.8571428571428571
36,1.0,1.0,1.0,1.0,1.0
37,0.875,1.0,0.75,0.9444444444444444,0.8571428571428571
38,1.0,1.0,1.0,1.0,1.0
39,1.0,1.0,1.0,1.0,1.0
40,1.0,1.0,1.0,1.0,1.0
41,1.0,1.0,1.0,1.0,1.0
42,1.0,1.0,1.0,1.0,1.0
43,0.8392857142857143,0.75,0.75,0.8888888888888888,0.75
44,0.9642857142857143,0.8,1.0,0.9444444444444444,0.888888888888889
45,0.875,1.0,0.75,0.9444444444444444,0.8571428571428571
46,0.875,1.0,0.75,0.9444444444444444,0.8571428571428571
47,0.9642857142857143,0.8,1.0,0.9444444444444444,0.888888888888889
48,1.0,1.0,1.0,1.0,1.0
49,0.8392857142857143,0.75,0.75,0.8888888888888888,0.75
50,0.75,1.0,0.5,0.8888888888888888,0.6666666666666666
51,0.875,1.0,0.75,0.9444444444444444,0.8571428571428571
52,0.8392857142857143,0.75,0.75,0.8888888888888888,0.75
53,1.0,1.0,1.0,1.0,1.0
54,0.875,1.0,0.75,0.9444444444444444,0.8571428571428571
55,0.875,1.0,0.75,0.9444444444444444,0.8571428571428571
56,0.875,1.0,0.75,0.9444444444444444,0.8571428571428571
57,1.0,1.0,1.0,1.0,1.0
58,1.0,1.0,1.0,1.0,1.0
59,1.0,1.0,1.0,1.0,1.0
60,1.0,1.0,1.0,1.0,1.0
61,0.8392857142857143,0.75,0.75,0.8888888888888888,0.75
62,0.875,1.0,0.75,0.9444444444444444,0.8571428571428571
63,0.875,1.0,0.75,0.9444444444444444,0.8571428571428571
64,0.875,1.0,0.75,0.9444444444444444,0.8571428571428571
65,1.0,1.0,1.0,1.0,1.0
66,0.8392857142857143,0.75,0.75,0.8888888888888888,0.75
67,0.8392857142857143,0.75,0.75,0.8888888888888888,0.75
68,0.875,1.0,0.75,0.9444444444444444,0.8571428571428571
69,1.0,1.0,1.0,1.0,1.0
70,0.9642857142857143,0.8,1.0,0.9444444444444444,0.888888888888889
71,1.0,1.0,1.0,1.0,1.0
72,0.875,1.0,0.75,0.9444444444444444,0.8571428571428571
73,0.875,1.0,0.75,0.9444444444444444,0.8571428571428571
74,0.8392857142857143,0.75,0.75,0.8888888888888888,0.75
75,0.9642857142857143,0.8,1.0,0.9444444444444444,0.888888888888889
76,0.8392857142857143,0.75,0.75,0.8888888888888888,0.75
77,1.0,1.0,1.0,1.0,1.0
78,1.0,1.0,1.0,1.0,1.0
79,1.0,1.0,1.0,1.0,1.0
80,0.875,1.0,0.75,0.9444444444444444,0.8571428571428571
81,0.9642857142857143,0.8,1.0,0.9444444444444444,0.888888888888889
82,0.875,1.0,0.75,0.9444444444444444,0.8571428571428571
83,0.9642857142857143,0.8,1.0,0.9444444444444444,0.888888888888889
84,0.9642857142857143,0.8,1.0,0.9444444444444444,0.888888888888889
85,0.8392857142857143,0.75,0.75,0.8888888888888888,0.75
86,1.0,1.0,1.0,1.0,1.0
87,0.875,1.0,0.75,0.9444444444444444,0.8571428571428571
88,1.0,1.0,1.0,1.0,1.0
89,0.875,1.0,0.75,0.9444444444444444,0.8571428571428571
90,1.0,1.0,1.0,1.0,1.0
91,1.0,1.0,1.0,1.0,1.0
92,0.9642857142857143,0.8,1.0,0.9444444444444444,0.888888888888889
93,0.9642857142857143,0.8,1.0,0.9444444444444444,0.888888888888889
94,1.0,1.0,1.0,1.0,1.0
95,0.8392857142857143,0.75,0.75,0.8888888888888888,0.75
96,1.0,1.0,1.0,1.0,1.0
97,0.8392857142857143,0.75,0.75,0.8888888888888888,0.75
98,0.9642857142857143,0.8,1.0,0.9444444444444444,0.888888888888889
99,0.875,1.0,0.75,0.9444444444444444,0.8571428571428571
