,AUC,Precision,Recall,Accuracy,trainAUC,trainPrecision,trainRecall,trainAccuracy
0,0.875,1.0,0.75,0.9444444444444444,0.9285714285714286,1.0,0.8571428571428571,0.9714285714285714
1,1.0,1.0,1.0,1.0,0.9285714285714286,1.0,0.8571428571428571,0.9714285714285714
2,0.875,1.0,0.75,0.9444444444444444,1.0,1.0,1.0,1.0
3,0.875,1.0,0.75,0.9444444444444444,1.0,1.0,1.0,1.0
4,1.0,1.0,1.0,1.0,0.9285714285714286,1.0,0.8571428571428571,0.9714285714285714
5,0.875,1.0,0.75,0.9444444444444444,1.0,1.0,1.0,1.0
6,1.0,1.0,1.0,1.0,0.9285714285714286,1.0,0.8571428571428571,0.9714285714285714
7,0.4285714285714286,0.0,0.0,0.6666666666666666,0.9285714285714286,1.0,0.8571428571428571,0.9714285714285714
8,1.0,1.0,1.0,1.0,0.9285714285714286,1.0,0.8571428571428571,0.9714285714285714
9,1.0,1.0,1.0,1.0,0.9285714285714286,1.0,0.8571428571428571,0.9714285714285714
10,0.8392857142857143,0.75,0.75,0.8888888888888888,1.0,1.0,1.0,1.0
11,1.0,1.0,1.0,1.0,0.9285714285714286,1.0,0.8571428571428571,0.9714285714285714
12,1.0,1.0,1.0,1.0,0.9285714285714286,1.0,0.8571428571428571,0.9714285714285714
13,0.8392857142857143,0.75,0.75,0.8888888888888888,1.0,1.0,1.0,1.0
14,0.875,1.0,0.75,0.9444444444444444,1.0,1.0,1.0,1.0
15,0.625,1.0,0.25,0.8333333333333334,0.8571428571428572,1.0,0.7142857142857143,0.9428571428571428
16,0.8392857142857143,0.75,0.75,0.8888888888888888,0.9285714285714286,1.0,0.8571428571428571,0.9714285714285714
17,1.0,1.0,1.0,1.0,0.9285714285714286,1.0,0.8571428571428571,0.9714285714285714
18,1.0,1.0,1.0,1.0,0.9285714285714286,1.0,0.8571428571428571,0.9714285714285714
19,0.875,1.0,0.75,0.9444444444444444,1.0,1.0,1.0,1.0
20,0.8392857142857143,0.75,0.75,0.8888888888888888,0.8571428571428572,1.0,0.7142857142857143,0.9428571428571428
21,0.8392857142857143,0.75,0.75,0.8888888888888888,0.9285714285714286,1.0,0.8571428571428571,0.9714285714285714
22,1.0,1.0,1.0,1.0,0.9285714285714286,1.0,0.8571428571428571,0.9714285714285714
23,0.75,1.0,0.5,0.8888888888888888,0.9107142857142857,0.8571428571428571,0.8571428571428571,0.9428571428571428
24,1.0,1.0,1.0,1.0,0.9285714285714286,1.0,0.8571428571428571,0.9714285714285714
25,0.875,1.0,0.75,0.9444444444444444,1.0,1.0,1.0,1.0
26,1.0,1.0,1.0,1.0,0.9285714285714286,1.0,0.8571428571428571,0.9714285714285714
27,0.875,1.0,0.75,0.9444444444444444,1.0,1.0,1.0,1.0
28,1.0,1.0,1.0,1.0,0.9285714285714286,1.0,0.8571428571428571,0.9714285714285714
29,0.875,1.0,0.75,0.9444444444444444,1.0,1.0,1.0,1.0
30,0.875,1.0,0.75,0.9444444444444444,0.9285714285714286,1.0,0.8571428571428571,0.9714285714285714
31,1.0,1.0,1.0,1.0,0.9285714285714286,1.0,0.8571428571428571,0.9714285714285714
32,0.875,1.0,0.75,0.9444444444444444,1.0,1.0,1.0,1.0
33,1.0,1.0,1.0,1.0,0.9285714285714286,1.0,0.8571428571428571,0.9714285714285714
34,0.75,1.0,0.5,0.8888888888888888,1.0,1.0,1.0,1.0
35,0.875,1.0,0.75,0.9444444444444444,1.0,1.0,1.0,1.0
36,1.0,1.0,1.0,1.0,0.9285714285714286,1.0,0.8571428571428571,0.9714285714285714
37,0.875,1.0,0.75,0.9444444444444444,1.0,1.0,1.0,1.0
38,1.0,1.0,1.0,1.0,0.9285714285714286,1.0,0.8571428571428571,0.9714285714285714
39,1.0,1.0,1.0,1.0,0.9285714285714286,1.0,0.8571428571428571,0.9714285714285714
40,1.0,1.0,1.0,1.0,0.9285714285714286,1.0,0.8571428571428571,0.9714285714285714
41,1.0,1.0,1.0,1.0,0.9285714285714286,1.0,0.8571428571428571,0.9714285714285714
42,1.0,1.0,1.0,1.0,0.9285714285714286,1.0,0.8571428571428571,0.9714285714285714
43,0.8392857142857143,0.75,0.75,0.8888888888888888,1.0,1.0,1.0,1.0
44,0.9642857142857143,0.8,1.0,0.9444444444444444,0.9285714285714286,1.0,0.8571428571428571,0.9714285714285714
45,0.875,1.0,0.75,0.9444444444444444,1.0,1.0,1.0,1.0
46,0.875,1.0,0.75,0.9444444444444444,1.0,1.0,1.0,1.0
47,1.0,1.0,1.0,1.0,0.9285714285714286,1.0,0.8571428571428571,0.9714285714285714
48,1.0,1.0,1.0,1.0,0.9285714285714286,1.0,0.8571428571428571,0.9714285714285714
49,0.875,1.0,0.75,0.9444444444444444,1.0,1.0,1.0,1.0
50,0.75,1.0,0.5,0.8888888888888888,1.0,1.0,1.0,1.0
51,0.875,1.0,0.75,0.9444444444444444,1.0,1.0,1.0,1.0
52,0.8392857142857143,0.75,0.75,0.8888888888888888,1.0,1.0,1.0,1.0
53,1.0,1.0,1.0,1.0,0.9285714285714286,1.0,0.8571428571428571,0.9714285714285714
54,0.875,1.0,0.75,0.9444444444444444,1.0,1.0,1.0,1.0
55,0.875,1.0,0.75,0.9444444444444444,1.0,1.0,1.0,1.0
56,0.875,1.0,0.75,0.9444444444444444,1.0,1.0,1.0,1.0
57,1.0,1.0,1.0,1.0,0.9285714285714286,1.0,0.8571428571428571,0.9714285714285714
58,1.0,1.0,1.0,1.0,0.9285714285714286,1.0,0.8571428571428571,0.9714285714285714
59,1.0,1.0,1.0,1.0,0.9285714285714286,1.0,0.8571428571428571,0.9714285714285714
60,1.0,1.0,1.0,1.0,0.9285714285714286,1.0,0.8571428571428571,0.9714285714285714
61,0.8392857142857143,0.75,0.75,0.8888888888888888,1.0,1.0,1.0,1.0
62,0.875,1.0,0.75,0.9444444444444444,1.0,1.0,1.0,1.0
63,0.875,1.0,0.75,0.9444444444444444,1.0,1.0,1.0,1.0
64,0.875,1.0,0.75,0.9444444444444444,1.0,1.0,1.0,1.0
65,1.0,1.0,1.0,1.0,0.9107142857142857,0.8571428571428571,0.8571428571428571,0.9428571428571428
66,0.9642857142857143,0.8,1.0,0.9444444444444444,0.9285714285714286,1.0,0.8571428571428571,0.9714285714285714
67,0.875,1.0,0.75,0.9444444444444444,1.0,1.0,1.0,1.0
68,0.875,1.0,0.75,0.9444444444444444,1.0,1.0,1.0,1.0
69,0.5535714285714287,0.3333333333333333,0.25,0.7222222222222222,0.9285714285714286,1.0,0.8571428571428571,0.9714285714285714
70,0.9642857142857143,0.8,1.0,0.9444444444444444,0.9285714285714286,1.0,0.8571428571428571,0.9714285714285714
71,0.875,1.0,0.75,0.9444444444444444,0.9285714285714286,1.0,0.8571428571428571,0.9714285714285714
72,1.0,1.0,1.0,1.0,0.9285714285714286,1.0,0.8571428571428571,0.9714285714285714
73,0.75,1.0,0.5,0.8888888888888888,1.0,1.0,1.0,1.0
74,0.875,1.0,0.75,0.9444444444444444,1.0,1.0,1.0,1.0
