,AUC,Precision,Recall,Accuracy,trainAUC,trainPrecision,trainRecall,trainAccuracy
0,1.0,1.0,1.0,1.0,0.9705882352941176,1.0,0.9411764705882353,0.9777777777777777
1,1.0,1.0,1.0,1.0,0.9705882352941176,1.0,0.9411764705882353,0.9777777777777777
2,0.875,1.0,0.75,0.9444444444444444,1.0,1.0,1.0,1.0
3,0.875,1.0,0.75,0.9444444444444444,1.0,1.0,1.0,1.0
4,1.0,1.0,1.0,1.0,0.9527310924369748,0.9411764705882353,0.9411764705882353,0.9555555555555556
5,0.875,1.0,0.75,0.9444444444444444,1.0,1.0,1.0,1.0
6,1.0,1.0,1.0,1.0,0.9527310924369748,0.9411764705882353,0.9411764705882353,0.9555555555555556
7,0.9285714285714286,0.6666666666666666,1.0,0.8888888888888888,0.9705882352941176,1.0,0.9411764705882353,0.9777777777777777
8,0.9642857142857143,0.8,1.0,0.9444444444444444,0.9705882352941176,1.0,0.9411764705882353,0.9777777777777777
9,0.9642857142857143,0.8,1.0,0.9444444444444444,0.9705882352941176,1.0,0.9411764705882353,0.9777777777777777
10,0.8392857142857143,0.75,0.75,0.8888888888888888,1.0,1.0,1.0,1.0
11,1.0,1.0,1.0,1.0,0.9527310924369748,0.9411764705882353,0.9411764705882353,0.9555555555555556
12,1.0,1.0,1.0,1.0,0.9705882352941176,1.0,0.9411764705882353,0.9777777777777777
13,0.8392857142857143,0.75,0.75,0.8888888888888888,1.0,1.0,1.0,1.0
14,0.875,1.0,0.75,0.9444444444444444,1.0,1.0,1.0,1.0
15,0.9285714285714286,0.6666666666666666,1.0,0.8888888888888888,0.9705882352941176,1.0,0.9411764705882353,0.9777777777777777
16,0.9642857142857143,0.8,1.0,0.9444444444444444,0.9705882352941176,1.0,0.9411764705882353,0.9777777777777777
17,0.9642857142857143,0.8,1.0,0.9444444444444444,0.9705882352941176,1.0,0.9411764705882353,0.9777777777777777
18,1.0,1.0,1.0,1.0,0.9527310924369748,0.9411764705882353,0.9411764705882353,0.9555555555555556
19,0.8392857142857143,0.75,0.75,0.8888888888888888,1.0,1.0,1.0,1.0
20,0.9642857142857143,0.8,1.0,0.9444444444444444,0.9705882352941176,1.0,0.9411764705882353,0.9777777777777777
21,0.9642857142857143,0.8,1.0,0.9444444444444444,0.9705882352941176,1.0,0.9411764705882353,0.9777777777777777
22,1.0,1.0,1.0,1.0,0.9705882352941176,1.0,0.9411764705882353,0.9777777777777777
23,1.0,1.0,1.0,1.0,0.9527310924369748,0.9411764705882353,0.9411764705882353,0.9555555555555556
24,0.9642857142857143,0.8,1.0,0.9444444444444444,0.9705882352941176,1.0,0.9411764705882353,0.9777777777777777
25,0.875,1.0,0.75,0.9444444444444444,1.0,1.0,1.0,1.0
26,1.0,1.0,1.0,1.0,0.9527310924369748,0.9411764705882353,0.9411764705882353,0.9555555555555556
27,0.875,1.0,0.75,0.9444444444444444,1.0,1.0,1.0,1.0
28,1.0,1.0,1.0,1.0,0.9705882352941176,1.0,0.9411764705882353,0.9777777777777777
29,0.8392857142857143,0.75,0.75,0.8888888888888888,1.0,1.0,1.0,1.0
30,0.9642857142857143,0.8,1.0,0.9444444444444444,0.9705882352941176,1.0,0.9411764705882353,0.9777777777777777
31,1.0,1.0,1.0,1.0,0.9527310924369748,0.9411764705882353,0.9411764705882353,0.9555555555555556
32,0.875,1.0,0.75,0.9444444444444444,1.0,1.0,1.0,1.0
33,1.0,1.0,1.0,1.0,0.9527310924369748,0.9411764705882353,0.9411764705882353,0.9555555555555556
34,0.875,1.0,0.75,0.9444444444444444,1.0,1.0,1.0,1.0
35,0.875,1.0,0.75,0.9444444444444444,1.0,1.0,1.0,1.0
36,1.0,1.0,1.0,1.0,0.9527310924369748,0.9411764705882353,0.9411764705882353,0.9555555555555556
37,0.875,1.0,0.75,0.9444444444444444,1.0,1.0,1.0,1.0
38,1.0,1.0,1.0,1.0,0.9705882352941176,1.0,0.9411764705882353,0.9777777777777777
39,1.0,1.0,1.0,1.0,0.9527310924369748,0.9411764705882353,0.9411764705882353,0.9555555555555556
40,1.0,1.0,1.0,1.0,0.9705882352941176,1.0,0.9411764705882353,0.9777777777777777
41,0.9642857142857143,0.8,1.0,0.9444444444444444,0.9705882352941176,1.0,0.9411764705882353,0.9777777777777777
42,1.0,1.0,1.0,1.0,0.9527310924369748,0.9411764705882353,0.9411764705882353,0.9555555555555556
43,0.8392857142857143,0.75,0.75,0.8888888888888888,1.0,1.0,1.0,1.0
44,0.9642857142857143,0.8,1.0,0.9444444444444444,0.9705882352941176,1.0,0.9411764705882353,0.9777777777777777
45,0.875,1.0,0.75,0.9444444444444444,1.0,1.0,1.0,1.0
46,0.875,1.0,0.75,0.9444444444444444,1.0,1.0,1.0,1.0
47,0.9642857142857143,0.8,1.0,0.9444444444444444,0.9705882352941176,1.0,0.9411764705882353,0.9777777777777777
48,1.0,1.0,1.0,1.0,0.9705882352941176,1.0,0.9411764705882353,0.9777777777777777
49,0.8392857142857143,0.75,0.75,0.8888888888888888,1.0,1.0,1.0,1.0
50,0.875,1.0,0.75,0.9444444444444444,1.0,1.0,1.0,1.0
51,0.875,1.0,0.75,0.9444444444444444,1.0,1.0,1.0,1.0
52,0.8392857142857143,0.75,0.75,0.8888888888888888,1.0,1.0,1.0,1.0
53,1.0,1.0,1.0,1.0,0.9705882352941176,1.0,0.9411764705882353,0.9777777777777777
54,0.875,1.0,0.75,0.9444444444444444,1.0,1.0,1.0,1.0
55,0.875,1.0,0.75,0.9444444444444444,1.0,1.0,1.0,1.0
56,0.875,1.0,0.75,0.9444444444444444,1.0,1.0,1.0,1.0
57,1.0,1.0,1.0,1.0,0.9527310924369748,0.9411764705882353,0.9411764705882353,0.9555555555555556
58,1.0,1.0,1.0,1.0,0.9705882352941176,1.0,0.9411764705882353,0.9777777777777777
59,0.9642857142857143,0.8,1.0,0.9444444444444444,0.9705882352941176,1.0,0.9411764705882353,0.9777777777777777
60,1.0,1.0,1.0,1.0,0.9705882352941176,1.0,0.9411764705882353,0.9777777777777777
61,0.8392857142857143,0.75,0.75,0.8888888888888888,1.0,1.0,1.0,1.0
62,0.875,1.0,0.75,0.9444444444444444,1.0,1.0,1.0,1.0
63,0.875,1.0,0.75,0.9444444444444444,1.0,1.0,1.0,1.0
64,0.875,1.0,0.75,0.9444444444444444,1.0,1.0,1.0,1.0
65,1.0,1.0,1.0,1.0,0.9527310924369748,0.9411764705882353,0.9411764705882353,0.9555555555555556
66,0.9642857142857143,0.8,1.0,0.9444444444444444,0.9705882352941176,1.0,0.9411764705882353,0.9777777777777777
67,0.8392857142857143,0.75,0.75,0.8888888888888888,1.0,1.0,1.0,1.0
68,0.875,1.0,0.75,0.9444444444444444,1.0,1.0,1.0,1.0
69,0.9642857142857143,0.8,1.0,0.9444444444444444,0.9527310924369748,0.9411764705882353,0.9411764705882353,0.9555555555555556
70,0.9642857142857143,0.8,1.0,0.9444444444444444,0.9705882352941176,1.0,0.9411764705882353,0.9777777777777777
